id,text,label
ufc_001,We will find out the plan after Justin loses by not following the plan.,hot_take
ufc_002,Goes like every other time; we'll see a refined/technical Justin for half a round before Ilia points to the centre and Justin happily obliges. I don't think Justin doesn't think he can't get knocked out by Ilia I just think he won't care and his competitive side will win and he'll take the challenge simply because it's a challenge to be accepted. He's built to entertain and he's done that very well imo,fight_analysis
ufc_003,People who think Justin cant fight calmly go watch his fight against Tony.,fight_analysis
ufc_004,Tilapia will block the bullet by flicking a rose at it.,reaction_meme
ufc_005,"Rockhold is up there, he's good",hot_take
ufc_006,Prime andrei arlovski,reaction_meme
ufc_007,"Can't believe people are counting out Justin Gaethje this Sunday, the first Israeli interim champ in the UFC.",hot_take
ufc_008,Ilia would get two wins in one night,hot_take
ufc_009,Wake up in the hospital. Easy.,reaction_meme
ufc_010,"nah, Bigfoot during that SF/UFC run was on steroids and TRT. soon as he got off of it, we saw the real Bigfoot. in fact, he died against a slower Hunt in the rematch",reaction_meme
ufc_011,Horrible take. Brock didn't have a bad chin. He took punches from Carwin and stayed in the fight until his victory. He was overwhelmed by Cain and had a body shot from Overeem. You don't know what you're talking about.,fight_analysis
ufc_012,His plan is to be a good boy,reaction_meme
ufc_013,"That was my thought as well, he sucks",reaction_meme
ufc_014,After watching Usyk vs Rico it's time to have the conversation that Ilia actually has a chance to beat him,hot_take
ufc_015,"""What if I punch reeeeally hard?""",reaction_meme
ufc_016,Hmmm I agree but I think he might kick him in the leg too. Not an expert either though.,hot_take
ufc_017,"I was going mad watching his fight vs browne,great fight. He really should of got a title shot, instead they fed him to stipe who's like his worst match up possible.",hot_take
ufc_018,It's nice seeing Gilbert get a win in UFC BJJ,reaction_meme
ufc_019,You will never see an higher level striking fight,hot_take
ufc_020,Tom beats Jones,hot_take
ufc_021,Frank Mir is a beast,hot_take
ufc_022,If he tries to box with him it will get ugly. Justin needs to brawl,hot_take
ufc_023,Eddie Hearn refuses to let Tom Aspinall fight Alex Pereira or Ciryl Gane under his current UFC deal,hot_take
ufc_024,this. justin is too careless and sloppy against much inferior fighters and has paid for it then. hes old and these habits havent been corrected then and wont be corrected now in a 6 week fight camp. what we have seen of justin is what we are going to get simply put. hes not got any magic plan or tricks that will do him wonders. hes never been that guy and wont proceed to be him either.,hot_take
